carrier_name,tier_name,service_technology,service_type,monthly_price_usd,promotional_price_usd,promo_duration_months,typical_download_mbps,typical_upload_mbps,typical_latency_ms,data_included_gb,overage_fee_usd,equipment_rental_monthly_usd,early_termination_fee_usd,network_management_policy,fcc_label_id,market_scope,last_verified
AT&T,AT&T Fiber 300,Fiber (FTTH),Residential,55.0,55.0,0,300.0,300.0,12.0,Unlimited,0.0,0.0,0.0,No throttling; protocol-agnostic,ATT-FBR-300-RES,National (Fiber Footprint),2026-09-17
AT&T,AT&T Fiber 500,Fiber (FTTH),Residential,65.0,65.0,0,500.0,500.0,12.0,Unlimited,0.0,0.0,0.0,No throttling; protocol-agnostic,ATT-FBR-500-RES,National (Fiber Footprint),2026-09-17
AT&T,AT&T Fiber 1 GIG,Fiber (FTTH),Residential,80.0,80.0,0,940.0,940.0,11.0,Unlimited,0.0,0.0,0.0,No throttling; protocol-agnostic,ATT-FBR-1000-RES,National (Fiber Footprint),2026-09-17
AT&T,AT&T Fiber 2 GIG,Fiber (FTTH / XGS-PON),Residential,150.0,150.0,0,2000.0,2000.0,9.0,Unlimited,0.0,0.0,0.0,No throttling; protocol-agnostic,ATT-FBR-2000-RES,National (Fiber Footprint),2026-09-17
AT&T,AT&T Internet Air,Fixed Wireless (5G),Residential,55.0,55.0,0,140.0,25.0,32.0,Unlimited,0.0,0.0,0.0,Subject to 5G network congestion management,ATT-AIR-5G-RES,National (Wireless),2026-09-17
Comcast Xfinity,Connect More,Cable (DOCSIS 3.1),Residential,61.0,35.0,12,300.0,20.0,22.0,1200,10.0,15.0,110.0,1.2 TB monthly cap applies in non-Northeast divisions,XFIN-CON-300-RES,National (Xfinity Footprint),2026-09-17
Comcast Xfinity,Fast,Cable (DOCSIS 3.1),Residential,81.0,50.0,12,500.0,20.0,21.0,1200,10.0,15.0,110.0,1.2 TB monthly cap applies in non-Northeast divisions,XFIN-FST-500-RES,National (Xfinity Footprint),2026-09-17
Comcast Xfinity,Superfast,Cable (DOCSIS 3.1),Residential,91.0,65.0,12,800.0,25.0,19.0,1200,10.0,15.0,110.0,1.2 TB monthly cap applies in non-Northeast divisions,XFIN-SPF-800-RES,National (Xfinity Footprint),2026-09-17
Comcast Xfinity,Gigabit Extra,Cable (DOCSIS 3.1),Residential,111.0,75.0,24,1200.0,35.0,18.0,1200,10.0,15.0,110.0,1.2 TB monthly cap applies in non-Northeast divisions,XFIN-GIG-1200-RES,National (Xfinity Footprint),2026-09-17
Verizon Fios,Fios 300 Mbps,Fiber (FTTH),Residential,49.99,49.99,0,300.0,300.0,13.0,Unlimited,0.0,0.0,0.0,No data caps; router rental included,VZ-FIOS-300-RES,Mid-Atlantic & Northeast,2026-09-17
Verizon Fios,Fios 500 Mbps,Fiber (FTTH),Residential,69.99,69.99,0,500.0,500.0,13.0,Unlimited,0.0,0.0,0.0,No data caps; router rental included,VZ-FIOS-500-RES,Mid-Atlantic & Northeast,2026-09-17
Verizon Fios,Fios 1 Gig,Fiber (FTTH),Residential,89.99,89.99,0,940.0,880.0,11.0,Unlimited,0.0,0.0,0.0,No data caps; router & Wi-Fi extender included,VZ-FIOS-1000-RES,Mid-Atlantic & Northeast,2026-09-17
Verizon Fios,Fios 2 Gig,Fiber (FTTH / NG-PON2),Residential,119.99,119.99,0,2048.0,2048.0,9.0,Unlimited,0.0,0.0,0.0,No data caps; multi-gig router included,VZ-FIOS-2000-RES,Select Metropolitan Areas,2026-09-17
Verizon 5G Home,5G Home Plus,Fixed Wireless (5G Ultra Wideband),Residential,70.0,45.0,36,300.0,20.0,28.0,Unlimited,0.0,0.0,0.0,De-prioritized behind mobile during extreme cell congestion,VZ-5G-PLUS-RES,National (5G UW Footprint),2026-09-17
Charter Spectrum,Spectrum Internet,Cable (DOCSIS 3.1),Residential,85.0,40.0,12,300.0,10.0,24.0,Unlimited,0.0,7.0,0.0,No data caps; modem included; Wi-Fi router $7/mo,CHTR-INT-300-RES,National (Spectrum Footprint),2026-09-17
Charter Spectrum,Spectrum Internet Ultra,Cable (DOCSIS 3.1),Residential,105.0,60.0,12,500.0,20.0,23.0,Unlimited,0.0,7.0,0.0,No data caps; modem included; Wi-Fi router $7/mo,CHTR-ULT-500-RES,National (Spectrum Footprint),2026-09-17
