component_name,ecosystem,purl,version,license_spdx,openssf_scorecard,cve_count,critical_cve_count,runtime_engine,verified_signature,slsa_level,last_attestation_date,status
kubernetes,go,pkg:golang/k8s.io/kubernetes@v1.31.0,v1.31.0,Apache-2.0,7.2,11,1,cri-o,True,3,2024-08-13,Active
terraform,go,pkg:golang/github.com/hashicorp/terraform@v1.9.5,v1.9.5,MPL-2.0,6.6,0,0,binary,True,2,2024-08-20,Active
cert-manager,go,pkg:golang/github.com/cert-manager/cert-manager@v1.15.3,v1.15.3,Apache-2.0,8.0,2,0,containerd,True,3,2024-08-14,Active
argo-cd,go,pkg:golang/github.com/argoproj/argo-cd/v2@v2.12.3,v2.12.3,Apache-2.0,9.5,16,1,containerd,True,2,2024-08-27,Active
vault,go,pkg:golang/github.com/hashicorp/vault@v1.17.5,v1.17.5,MIT,6.5,40,1,binary,True,2,2024-08-30,Active
prometheus,go,pkg:golang/github.com/prometheus/prometheus@v2.54.1,v2.54.1,Apache-2.0,8.5,0,0,containerd,True,3,2026-09-25,Active
cilium,go,pkg:golang/github.com/cilium/cilium@v1.16.1,v1.16.1,Apache-2.0,5.8,22,1,containerd,True,3,2024-08-13,Active
helm,go,pkg:golang/helm.sh/helm/v3@v3.15.4,v3.15.4,Apache-2.0,9.1,12,1,binary,True,3,2024-08-14,Active
containerd,go,pkg:golang/github.com/containerd/containerd@v1.7.21,v1.7.21,Apache-2.0,9.3,15,1,containerd,True,3,2024-08-26,Active
cosign,go,pkg:golang/github.com/sigstore/cosign/v2@v2.4.0,v2.4.0,Apache-2.0,8.1,4,0,binary,True,3,2024-08-06,Active
trivy,go,pkg:golang/github.com/aquasecurity/trivy@v0.55.1,v0.55.1,Apache-2.0,7.0,6,1,binary,True,3,2024-09-12,Active
syft,go,pkg:golang/github.com/anchore/syft@v1.11.1,v1.11.1,Apache-2.0,8.0,2,0,binary,True,2,2024-08-20,Active
wasmtime,cargo,pkg:cargo/wasmtime@24.0.0,24.0.0,Apache-2.0 WITH LLVM-exception,5.4,41,1,wasm,True,2,2024-08-20,Active
fastapi,pypi,pkg:pypi/fastapi@0.114.0,0.114.0,MIT,7.0,0,0,binary,False,1,2024-09-06,Active
express,npm,pkg:npm/express@4.19.2,4.19.2,MIT,8.5,1,0,binary,True,2,2024-03-25,Active
next,npm,pkg:npm/next@14.2.10,14.2.10,MIT,6.2,33,1,binary,True,2,2024-09-11,Active
tokio,cargo,pkg:cargo/tokio@1.40.0,1.40.0,MIT,6.9,2,0,binary,True,2,2024-08-30,Active
cryptography,pypi,pkg:pypi/cryptography@43.0.1,43.0.1,Apache-2.0 OR BSD-3-Clause,8.3,10,1,binary,True,3,2024-09-03,Active
istio,go,pkg:golang/istio.io/istio@v1.23.0,v1.23.0,Apache-2.0,6.3,0,0,containerd,True,3,2026-09-25,Active
docker-cli,go,pkg:golang/github.com/docker/cli@v27.2.0,v27.2.0,Apache-2.0,8.2,0,0,docker,True,2,2026-09-25,Active
cri-o,go,pkg:golang/github.com/cri-o/cri-o@v1.31.0,v1.31.0,Apache-2.0,9.4,6,1,cri-o,True,3,2024-09-09,Active
etcd,go,pkg:golang/go.etcd.io/etcd/v3@v3.5.15,v3.5.15,Apache-2.0,6.3,10,1,binary,True,3,2024-07-19,Active
coredns,go,pkg:golang/github.com/coredns/coredns@v1.11.3,v1.11.3,Apache-2.0,8.6,22,1,containerd,True,3,2024-04-26,Active
traefik,go,pkg:golang/github.com/traefik/traefik/v3@v3.1.2,v3.1.2,MIT,6.4,81,1,binary,True,3,2024-08-06,Active
opa,go,pkg:golang/github.com/open-policy-agent/opa@v0.68.0,v0.68.0,Apache-2.0,7.4,2,0,binary,True,3,2024-08-29,Active
grype,go,pkg:golang/github.com/anchore/grype@v0.79.4,v0.79.4,Apache-2.0,8.2,2,0,binary,True,2,2024-07-31,Active
serde,cargo,pkg:cargo/serde@1.0.210,1.0.210,Apache-2.0 OR MIT,5.6,0,0,binary,True,2,2024-09-06,Active
urllib3,pypi,pkg:pypi/urllib3@2.2.2,2.2.2,MIT,8.6,12,1,binary,True,3,2024-06-17,Active
requests,pypi,pkg:pypi/requests@2.32.3,2.32.3,Apache-2.0,8.2,4,0,binary,True,2,2024-05-29,Active
pydantic,pypi,pkg:pypi/pydantic@2.8.2,2.8.2,MIT,6.8,0,0,binary,True,2,2024-07-04,Active
prisma,npm,pkg:npm/prisma@5.19.1,5.19.1,Apache-2.0,6.7,0,0,binary,True,2,2024-09-02,Active
envoy,go,pkg:golang/github.com/envoyproxy/go-control-plane@v0.13.0,v0.13.0,Apache-2.0,9.1,0,0,containerd,True,3,2024-08-09,Active
falco,go,pkg:golang/github.com/falcosecurity/falco@v0.38.1,v0.38.1,Apache-2.0,6.9,0,0,containerd,True,2,2026-09-25,Active
