category_id,category_name,archetype,primary_delivery_form,cra_exposure_level,statutory_assessment_module,typical_annual_eu_revenue_usd,audit_or_delisting_probability_pct,delisting_risk_severity,customs_seizure_risk,estimated_inaction_cost_usd,sweat_equity_hours,sweat_equity_cost_usd,tooling_attestation_cost_usd,annual_maintenance_reserve_usd,total_cost_to_act_usd,breakeven_eu_arr_usd,capital_preservation_roi_pct,strategic_action_verdict,key_statutory_articles,last_updated
INDIE-01,Consumer Mobile Applications (iOS / Android),Indie Software & Mobile App Developers,Mobile App Store Binary (.ipa / .aab),HIGH,Annex II Module A (Internal Control),65000,35.0,Critical (Automated App Store CE Gate),None (Digital Distribution),78000,20,1500,150,400,2050,4100,3704.9,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13(18), Art. 14, Art. 53",2026-09-25
INDIE-02,macOS Menu-Bar & Productivity Utilities,Indie Software & Mobile App Developers,Signed macOS App Bundle (.dmg / Notarized .zip),HIGH,Annex II Module A (Internal Control),48000,28.0,High (Direct Download & Gatekeeper Notarization),None (Digital Distribution),58000,18,1350,150,350,1850,3700,3035.1,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13(18), Art. 14, Art. 53",2026-09-25
INDIE-03,Windows Desktop System Tools & Tweakers,Indie Software & Mobile App Developers,Installer Executable (.exe / .msi),HIGH,Annex II Module A (Internal Control),72000,30.0,High (SmartScreen Reputation & Antivirus Flagging),None (Digital Distribution),85000,24,1800,180,450,2430,4860,3397.9,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13(18), Art. 14, Art. 53",2026-09-25
INDIE-04,Desktop Indie Games (Steam / Epic Games Store),Indie Software & Mobile App Developers,Game Executable & Assets (Steamworks SDK),HIGH,Annex II Module A (Internal Control),95000,32.0,Critical (Steam Marketplace CE Declaration Gate),None (Digital Distribution),115000,20,1500,180,400,2080,4160,5428.8,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 53",2026-09-25
INDIE-05,"Audio DSP, VST/AU Music Plugins & Synthesizers",Indie Software & Mobile App Developers,DAW Audio Plugins (.vst3 / .component / .aax),HIGH,Annex II Module A (Internal Control),54000,25.0,Moderate-High (Plugin Host Sandboxing & Reseller Delisting),None (Digital Distribution),62000,16,1200,150,350,1700,3400,3547.1,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 53",2026-09-25
INDIE-06,Electron & Tauri Cross-Platform Desktop Apps,Indie Software & Mobile App Developers,Bundled Webview Application (.deb / .dmg / .exe),HIGH,Annex II Module A (Internal Control),85000,34.0,High (Chromium/Node Embedded CVE Vulnerability Exposure),None (Digital Distribution),105000,26,1950,200,500,2650,5300,3862.3,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13(18), Art. 14, Art. 53",2026-09-25
INDIE-07,"Developer CLI, TUI & Developer Productivity Binaries",Indie Software & Mobile App Developers,Native Compiled Binary (Go / Rust / C++),HIGH,Annex II Module A (Internal Control),42000,22.0,Moderate (Brew / Package Manager Audit Block),None (Digital Distribution),48000,14,1050,120,300,1470,2940,3165.3,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 53",2026-09-25
INDIE-08,Bluetooth LE & Local IoT Companion Mobile Apps,Indie Software & Mobile App Developers,Mobile App + Local Radio Protocol Handler,CRITICAL,Annex II Module A (Internal Control),78000,42.0,Critical (Hardware-Paired App Store Verification Gate),None (Software Component Only),110000,24,1800,200,500,2500,5000,4300.0,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 53",2026-09-25
CMS-01,"WordPress Security, Backup & Admin Tools","CMS Plugin, Theme & Extension Builders",Downloadable Plugin Archive (.zip),HIGH,Annex II Module A (Internal Control),68000,36.0,High (Ecosystem Security Scan & Community Repository Ban),None (Digital Distribution),82000,20,1500,150,400,2050,4100,3900.0,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13(5), Art. 14, Art. 53",2026-09-25
CMS-02,WooCommerce Payment Gateways & Invoicing Plugins,"CMS Plugin, Theme & Extension Builders",PHP Plugin Package with API Bridge,CRITICAL,Annex II Module A (Internal Control),82000,44.0,Critical (Merchant Liability & Payment Processor Delisting),None (Digital Distribution),125000,24,1800,200,500,2500,5000,4900.0,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13(5), Art. 14, Art. 53, PLD Dir 2024/2853",2026-09-25
