category_id,category_name,archetype,primary_delivery_form,nace_rev21_code,nace_rev21_title,isic_rev4_code,isic_rev4_title,naics_2022_code,naics_2022_title,cra_statutory_tier,cra_statutory_module,cra_primary_articles,public_data_source_title,public_data_source_url,classification_provenance_notes
INDIE-01,Consumer Mobile Applications (iOS / Android),Indie Software & Mobile App Developers,Mobile App Store Binary (.ipa / .aab),J58.29,Other software publishing,5820,Software publishing,513210,Software Publishers,Default Product with Digital Elements,Annex II Module A (Internal Production Control),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 32-34",Eurostat NACE Rev. 2.1 Statistical Classification,https://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=LST_NOM_DTL&StrNom=NACE_REV2,Commercial mobile binaries distributed via app stores fall under software publishing (NACE J58.29). Classified as Default PDE under CRA Article 18(1) requiring Annex II Module A self-assessment.
INDIE-02,macOS Menu-Bar & Productivity Utilities,Indie Software & Mobile App Developers,Signed macOS App Bundle (.dmg / Notarized .zip),J58.29,Other software publishing,5820,Software publishing,513210,Software Publishers,Default Product with Digital Elements,Annex II Module A (Internal Production Control),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 32-34",Eurostat NACE Rev. 2.1 Statistical Classification,https://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=LST_NOM_DTL&StrNom=NACE_REV2,"Packaged desktop productivity software directly commercialized to end users. Under CRA Article 3(1), independent desktop utilities constitute products with digital elements."
INDIE-03,Windows Desktop System Tools & Tweakers,Indie Software & Mobile App Developers,Installer Executable (.exe / .msi),J58.29,Other software publishing,5820,Software publishing,513210,Software Publishers,Default Product with Digital Elements,Annex II Module A (Internal Production Control),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 53",Eurostat NACE Rev. 2.1 Statistical Classification,https://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=LST_NOM_DTL&StrNom=NACE_REV2,Low-level system utility software distributed with installer binaries. Requires software bill of materials (SBOM) under Art. 13(18) and vulnerability disclosure under Art. 14.
INDIE-04,Desktop Indie Games (Steam / Epic Games Store),Indie Software & Mobile App Developers,Game Executable & Assets (Steamworks SDK),J58.21,Publishing of computer games,5820,Software publishing,513210,Software Publishers (Video Game Publishers),Default Product with Digital Elements,Annex II Module A (Internal Production Control),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 32-34",Eurostat NACE Rev. 2.1 - Class 58.21 Publishing of computer games,https://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=DSP_NOM_DTL_VIEW&StrNom=NACE_REV2&StrLanguageCode=EN&IntKey=20612140,Commercial gaming software distributed on digital storefronts is explicitly covered under CRA scope as PDE. Video game publishers mapped directly to NACE J58.21.
INDIE-05,"Audio DSP, VST/AU Music Plugins & Synthesizers",Indie Software & Mobile App Developers,DAW Audio Plugins (.vst3 / .component / .aax),J58.29,Other software publishing,5820,Software publishing,513210,Software Publishers,Default Product with Digital Elements,Annex II Module A (Internal Production Control),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 53",Eurostat NACE Rev. 2.1 Statistical Classification,https://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=LST_NOM_DTL&StrNom=NACE_REV2,Digital signal processing audio software plugins commercialized to musicians/studios. Mapped to software publishing under NACE J58.29 and Default PDE under CRA.
INDIE-06,Electron & Tauri Cross-Platform Desktop Apps,Indie Software & Mobile App Developers,Bundled Webview Application (.deb / .dmg / .exe),J58.29,Other software publishing,5820,Software publishing,513210,Software Publishers,Default Product with Digital Elements,Annex II Module A (Internal Production Control),"Art. 3, Art. 10, Art. 13(18), Art. 14, Art. 53",Eurostat NACE Rev. 2.1 Statistical Classification,https://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=LST_NOM_DTL&StrNom=NACE_REV2,"Hybrid web-technology standalone desktop applications bundling Node.js, Chromium, or system webviews. Heightened SBOM exposure under Art. 13(18) due to large bundled dependency graphs."
INDIE-07,"Developer CLI, TUI & Developer Productivity Binaries",Indie Software & Mobile App Developers,Native Compiled Binary (Go / Rust / C++),J62.01,Computer programming activities,6201,Computer programming activities,541511,Custom Computer Programming Services,Default Product with Digital Elements,Annex II Module A (Internal Production Control),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 32-34",Eurostat NACE Rev. 2.1 - Class 62.01 Computer programming activities,https://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=DSP_NOM_DTL_VIEW&StrNom=NACE_REV2&StrLanguageCode=EN&IntKey=20612143,Command-line tools commercialized directly to engineers. Mapped to NACE J62.01 and Default PDE under CRA Article 18(1).
INDIE-08,Bluetooth LE & Local IoT Companion Mobile Apps,Indie Software & Mobile App Developers,Mobile App + Local Radio Protocol Handler,J58.29,Other software publishing,5820,Software publishing,513210,Software Publishers,Important Product with Digital Elements — Class I (Annex III),Harmonised Standards (Module A) / Notified Body (Module B+C),"Art. 3, Art. 10, Art. 18(2), Annex III Class I, Art. 53",European Parliament & Council Regulation (EU) 2024/2847 (CRA Annex III),https://eur-lex.europa.eu/eli/reg/2024/2847/oj,Mobile companion applications interfacing directly with local network interfaces or microcontrollers trigger Important Class I Annex III exposure when managing smart home devices or radio interfaces.
CMS-01,"WordPress Security, Backup & Admin Tools","CMS Plugin, Theme & Extension Builders",Downloadable Plugin Archive (.zip),J58.29,Other software publishing,5820,Software publishing,513210,Software Publishers,Important Product with Digital Elements — Class I (Annex III),Harmonised Standards (Module A) / Notified Body (Module B+C),"Art. 3, Art. 10, Art. 18(2), Annex III Class I (Security Software), Art. 53",Regulation (EU) 2024/2847 Annex III Item 1 (Security Systems & Tools),https://eur-lex.europa.eu/eli/reg/2024/2847/oj,"Plugins providing security functions (authentication, firewall, vulnerability scanning) qualify as Important Class I under Annex III Item 1, with statutory presumption of conformity only via European harmonised standards."
CMS-02,WooCommerce Payment Gateways & Invoicing Plugins,"CMS Plugin, Theme & Extension Builders",PHP Plugin Package with API Bridge,J62.01,Computer programming activities,6201,Computer programming activities,541511,Custom Computer Programming Services,Default Product with Digital Elements,Annex II Module A (Internal Production Control),"Art. 3, Art. 10, Art. 13, Art. 14, Directive 2024/2853 (PLD)",Eurostat NACE Rev. 2.1 Statistical Classification,https://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=LST_NOM_DTL&StrNom=NACE_REV2,E-commerce transactional middleware packages. Mapped to NACE J62.01. Heightened civil liability under the new EU Product Liability Directive (2024/2853) for financial transaction defects.
CMS-03,Shopify Public Marketplace Apps & Frontends,"CMS Plugin, Theme & Extension Builders",Shopify App Store Hosted Extension,J63.11,"Data processing, hosting and related activities",6311,"Data processing, hosting and related activities",518210,"Computing Infrastructure Providers, Data Processing, Web Hosting",Borderline / Low Exposure (SaaS Exclusion Recital 13),Exempt unless embedding executable client-side JS runtime,"Art. 2, Art. 3, Recital 13 (Cloud Service Exclusion)",Regulation (EU) 2024/2847 Recital 13 (SaaS / Cloud Service Exclusions),https://eur-lex.europa.eu/eli/reg/2024/2847/oj,"Pure cloud-hosted SaaS applications interacting via APIs are governed by NIS2 rather than CRA under Recital 13, unless distributed with downloadable client scripts or themes."
CMS-04,PrestaShop & Magento Commercial E-Com Modules,"CMS Plugin, Theme & Extension Builders",Self-Hosted Enterprise Module Archive,J58.29,Other software publishing,5820,Software publishing,513210,Software Publishers,Default Product with Digital Elements,Annex II Module A (Internal Production Control),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 53",Eurostat NACE Rev. 2.1 Statistical Classification,https://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=LST_NOM_DTL&StrNom=NACE_REV2,Downloadable PHP module packages executed on self-hosted customer infrastructure constitute standalone PDE under CRA Article 3(1).
