company_name,ticker,cik,sector,incident_detection_date,materiality_determination_date,filing_date,disclosure_lag_days,incident_type,threat_actor,impact_summary,estimated_remediation_cost_m,doj_delay_invoked,subsequent_8k_amendments,edgar_accession_number,edgar_url,last_updated
UnitedHealth Group Inc,UNH,0000731766,Healthcare & Life Sciences,2024-02-21,2024-02-21,2024-02-22,1,Ransomware & Claims Disruption,BlackCat / ALPHV,Change Healthcare claims clearinghouse halted nationally; $872M initial direct response costs; estimated total impact over $1.6B.,1600.0,False,3,0000731766-24-000012,https://www.sec.gov/edgar/data/731766/000073176624000012/unh-20240221.htm,2026-09-18
Microsoft Corporation,MSFT,0000789019,Cloud & Enterprise Software,2024-01-12,2024-01-17,2024-01-19,2,Nation-State Espionage & Email Exfiltration,Midnight Blizzard (APT29 / Nobelium),Russian state group accessed senior leadership emails and cybersecurity staff correspondence via legacy test tenant password spraying.,45.0,False,2,0000789019-24-000008,https://www.sec.gov/edgar/data/789019/000078901924000008/msft-20240112.htm,2026-09-18
Hewlett Packard Enterprise Co,HPE,0001645590,Enterprise Infrastructure & Hardware,2023-12-12,2024-01-19,2024-01-24,3,Cloud Email Compromise,Midnight Blizzard (APT29),"Threat actor exfiltrated data from HPE cloud email environment targeting cybersecurity, marketing, and legal executives.",22.5,False,1,0001645590-24-000007,https://www.sec.gov/edgar/data/1645590/000164559024000007/hpe-20240119.htm,2026-09-18
First American Financial Corp,FAF,0001472787,Real Estate & Title Insurance,2023-12-20,2023-12-21,2023-12-22,1,Unauthorized Network Intrusion & Isolation,Unknown Cybercrime Syndicate,"Company shut down core transactional systems, delaying real estate closings nationwide and requiring manual escrow workflows.",38.0,False,2,0001472787-23-000052,https://www.sec.gov/edgar/data/1472787/000147278723000052/faf-20231220.htm,2026-09-18
Prudential Financial Inc,PRU,0001137774,Insurance & Asset Management,2024-02-05,2024-02-12,2024-02-14,2,Unauthorized Administrative Access,Scattered Spider (UNC3944 / Alphv affiliate),Compromised administrative credentials; accessed internal company documents and employee records with no customer data breach reported.,15.0,False,1,0001137774-24-000015,https://www.sec.gov/edgar/data/1137774/000113777424000015/pru-20240212.htm,2026-09-18
"loanDepot, Inc.",LDI,0001831631,Mortgage & Consumer Lending,2024-01-04,2024-01-06,2024-01-08,2,Ransomware & Servicing Outage,Unknown Extortion Group,Encrypted servers forced company to take loan servicing portals offline; personal data of 16.6 million individuals compromised; $27M charge.,27.2,False,2,0001831631-24-000003,https://www.sec.gov/edgar/data/1831631/000183163124000003/ldi-20240108.htm,2026-09-18
VF Corporation,VFC,0000103379,Apparel & Retail Brands,2023-12-13,2023-12-15,2023-12-18,3,Ransomware & Holiday Supply Chain Outage,BlackCat / ALPHV,Consumer fulfillment centers for The North Face and Vans severely disrupted during peak holiday season; 35.5 million consumer records exfiltrated.,75.0,False,2,0000103379-23-000084,https://www.sec.gov/edgar/data/103379/000010337923000084/vfc-20231215.htm,2026-09-18
AT&T Inc.,T,0000932782,Telecommunications,2024-04-19,2024-05-09,2024-07-12,64,Cloud Workspace Exfiltration (Snowflake),UNC5537 / Cybercrime Group,109 million customer call and text records exfiltrated from third-party cloud database; DOJ granted two 30-day delay exemptions on national security grounds.,120.0,True,1,0000932782-24-000078,https://www.sec.gov/edgar/data/932782/000093278224000078/t-20240712.htm,2026-09-18
CDK Global Inc,CDK,0001609702,Automotive Retail Software & SaaS,2024-06-19,2024-06-20,2024-06-24,2,Dual Extortion Ransomware,BlackSuit,"Automotive dealer management systems crippled across 15,000 dealerships for nearly two weeks; reported $25M cryptocurrency ransom payment.",45.0,False,2,0001609702-24-000021,https://www.sec.gov/edgar/data/1609702/000160970224000021/cdk-20240624.htm,2026-09-18
Halliburton Company,HAL,0000045012,Energy & Oilfield Services,2024-08-21,2024-08-23,2024-08-26,1,Unauthorized Systems Intrusion,RansomHub / Cybercrime Syndicate,Shut down internal enterprise resource planning and field operations networks; corporate campus staff instructed to work remotely.,35.0,False,1,0000045012-24-000034,https://www.sec.gov/edgar/data/45012/000004501224000034/hal-20240826.htm,2026-09-18
"American Water Works Co, Inc.",AWK,0001410636,Critical Infrastructure & Utilities,2024-10-03,2024-10-05,2024-10-07,2,IT Systems Cyberattack,Unknown Threat Group,Largest regulated water utility in the US disconnected online customer portal and billing; water and wastewater operations remained safe.,18.0,False,1,0001410636-24-000045,https://www.sec.gov/edgar/data/1410636/000141063624000045/awk-20241007.htm,2026-09-18
Microchip Technology Inc,MCHP,0000827054,Semiconductor & Electronics,2024-08-17,2024-08-19,2024-08-20,1,Manufacturing Network Intrusion,Play Ransomware,Disrupted semiconductor manufacturing facilities and delayed customer order fulfillment; exfiltrated employee and proprietary operational data.,24.5,False,1,0000827054-24-000018,https://www.sec.gov/edgar/data/827054/000082705424000018/mchp-20240820.htm,2026-09-18
